alpha,phi_eq,eig_real_max,eig_imag_mean
0.25,0.0,-0.04000000000000001,0.0
0.255,0.0,-0.039999999999999994,0.0
0.26,0.0,-0.03999999999999998,0.0
0.265,0.0,-0.040000000000000015,0.0
0.27,0.0,-0.040000000000000015,0.0
0.275,0.0,-0.04000000000000001,0.0
0.28,0.0,-0.04,0.0
0.28500000000000003,0.0,-0.04,0.0
0.29000000000000004,0.0,-0.04000000000000001,0.0
0.29500000000000004,0.0,-0.03999999999999998,0.0
0.3,0.0,-0.039999999999999994,0.0
0.305,0.0,-0.04,0.0
0.31,0.0,-0.04000000000000001,0.0
0.315,0.0,-0.040000000000000015,0.0
0.32,0.0,-0.039999999999999994,0.0
0.325,0.0,-0.04,0.0
0.33,0.0,-0.04,0.0
0.335,0.0,-0.04000000000000001,0.0
0.34,0.0,-0.04,0.0
0.34500000000000003,0.0,-0.039999999999999994,0.0
0.35000000000000003,0.0,-0.039999999999999994,0.0
0.35500000000000004,0.0,-0.04000000000000001,0.0
0.36,0.0,-0.039999999999999994,0.0
0.365,0.0,-0.03999999999999999,0.0
0.37,0.0,-0.04,0.0
0.375,0.0,-0.04000000000000001,0.0
0.38,0.0,-0.039999999999999994,0.0
0.385,0.0,-0.04000000000000001,0.0
0.39,0.0,-0.04000000000000001,0.0
0.395,0.0,-0.04000000000000001,0.0
0.4,0.0,-0.039999999999999994,0.0
0.405,0.0,-0.039999999999999994,0.0
0.41000000000000003,0.0,-0.039999999999999994,0.0
0.41500000000000004,0.0,-0.04,0.0
0.42000000000000004,0.0,-0.039999999999999994,0.0
0.42500000000000004,0.0,-0.04000000000000001,0.0
0.43000000000000005,0.0,-0.039999999999999994,0.0
0.43500000000000005,0.0,-0.04000000000000001,0.0
0.44000000000000006,0.0,-0.039999999999999994,0.0
0.44500000000000006,0.0,-0.04,0.0
0.45000000000000007,0.0,-0.039999999999999994,0.0
0.45500000000000007,0.0,-0.039999999999999994,0.0
0.4600000000000001,0.0,-0.039999999999999994,0.0
0.4650000000000001,0.0,-0.04,0.0
0.47000000000000003,0.0,-0.039999999999999994,0.0
0.47500000000000003,0.0,-0.039999999999999994,0.0
0.48000000000000004,0.0,-0.04,0.0
0.48500000000000004,0.0,-0.039999999999999994,0.0
0.49000000000000005,0.0,-0.04000000000000001,0.0
0.49500000000000005,0.0,-0.039999999999999994,0.0
0.5,0.0,-0.04000000000000001,0.0
0.5050000000000001,0.0,-0.04,0.0
0.51,0.0,-0.04,0.0
0.5150000000000001,0.0,-0.04000000000000001,0.0
0.52,0.0,-0.04,0.0
0.5250000000000001,0.0,-0.039999999999999994,0.0
0.53,0.0,-0.04000000000000001,0.0
0.535,0.0,-0.039999999999999994,0.0
0.54,0.0,-0.039999999999999994,0.0
0.545,0.0,-0.040000000000000015,0.0
0.55,0.0,-0.039999999999999994,0.0
